review_id,product_id,rating,review_title,review_text
R001,SC001,5,Perfect basic tee,Love this white linen tee. Fabric is breathable and the fit is perfect. Washed multiple times and still looks great.
R002,SC001,4,Good quality,Nice material and true to size. Slight wrinkle after wash but overall happy with purchase.
R003,SC001,5,Best white tee ever,Soft fabric, good stitching. Bought two more already. Perfect for summers.
R004,SC001,3,Okay but expensive,Decent tee but feels overpriced for a basic white top. Quality is average.
R005,SC002,5,Gorgeous blouse,The floral print is stunning and the wrap design is very flattering. Got so many compliments.
R006,SC002,4,Pretty design,Lovely blouse, fabric is soft. The wrap ties could be longer but otherwise great.
R007,SC002,2,Fabric is too thin,Disappointed. The fabric is see-through and the print fades after one wash.
R008,SC003,5,Love this kurta,Such beautiful embroidery. The striped pattern is unique and the cotton is very comfortable.
R009,SC003,5,Best kurta in this price range,Perfect fit, lovely colours, wears well. Highly recommend to everyone.
R010,SC003,4,Nice cotton quality,Good quality fabric. The stitching is neat and the size runs true.
R011,SC004,4,Great crop tank,Perfect for gym and casual wear. Comfortable and stays in place during workouts.
R012,SC004,3,Average quality,Decent tank but the fabric stretches out after a few washes.
R013,SC005,5,Luxurious top,The silk fabric feels amazing. The embroidery is exquisite. Worth every rupee.
R014,SC005,5,Perfect occasion wear,Wore to a wedding function and received so many compliments. Elegant and sophisticated.
R015,SC006,4,Nice denim shirt,Good quality denim. Fits well and looks smart both casual and semi-formal.
R016,SC006,3,Colour faded quickly,The denim colour started fading after 3-4 washes which is disappointing.
R017,SC007,4,Cute puff sleeves,The puff sleeve detail is adorable. Fits true to size and the ruching is well done.
R018,SC007,3,Sleeves too dramatic,The puff sleeves are very exaggerated. Not practical for everyday wear.
R019,SC008,5,Perfect vintage tee,Love the graphic print. Soft fabric and the vintage wash gives it an authentic feel.
R020,SC008,5,Great quality and design,One of the best tees I own. Wears well and the print doesn't crack or peel.
R021,SC009,2,Too sheer,The fabric is extremely sheer and requires a camisole underneath. Not worth the price.
R022,SC009,3,Delicate fabric,Pretty top but very fragile. Needs careful handling. The sheer fabric is nice but impractical.
R023,SC010,4,Beautiful print,Love the bohemian print. The blouse is airy and perfect for summer days.
R024,SC010,5,So pretty and comfortable,Excellent fabric and the print is vibrant. Getting compliments everywhere I wear it.
R025,SC011,4,Nice ribbed crop,Good quality ribbed knit. Fits well and looks great with high-waist bottoms.
R026,SC011,3,Stretched after washing,The ribbed fabric lost its shape after a few washes. Disappointed.
R027,SC012,5,Love this graphic tee,The oversized fit is perfect and the graphic print is so unique. Comfortable daily wear.
R028,SC012,5,Best oversized tee,Soft, comfortable and the graphic is sharp. Great value for money.
R029,SC012,4,Good but runs large,Ordered my usual size but it's quite oversized. Go one size down. Still love it.
R030,SC013,3,Shoulder slips constantly,The off-shoulder design keeps sliding. Needs better elastic or silicone grip.
R031,SC013,2,Not as pictured,The ruffles are poorly sewn and the top doesn't look like the picture at all.
R032,SC014,4,Unique and elegant,The tulle overlay creates a beautiful look. Delicate but well-made for the price.
R033,SC014,5,Stunning top,Got so many compliments. The tulle is beautiful and well-sewn. Perfect for parties.
R034,SC015,5,Classic polo shirt,Perfect polo shirt. Great quality fabric and the collar holds its shape well.
R035,SC015,4,Good formal shirt,Nice look and feel. Could be slightly thicker fabric but overall satisfied.
R036,SC016,5,Absolutely stunning dress,The velvet is rich and luxurious. Perfect party dress. Got tons of compliments at the event.
R037,SC016,5,Worth every penny,Gorgeous velvet dress. The deep colour is rich and the fit is perfect.
R038,SC016,4,Beautiful but hard to find occasion,Stunning dress but very formal so can't wear often. Still glad I bought it.
R039,SC017,5,Favourite dress,This floral midi is gorgeous. The print is vibrant and the fabric flows beautifully.
R040,SC017,5,Perfect summer dress,Wore it to a brunch and felt like a princess. Fabric is lightweight and comfortable.
R041,SC017,4,Lovely dress,Great quality. The midi length is very flattering. Minor stitching issue fixed easily.
R042,SC018,5,Every woman needs this LBD,Classic little black dress that's versatile and timeless. Fits beautifully.
R043,SC018,5,Perfect for every occasion,Wore to work, wedding, and party. This dress handles everything. Excellent quality.
R044,SC018,4,Great LBD,Good quality and flattering cut. The fabric holds up well after multiple washes.
R045,SC019,4,Boho vibes,Love the bohemian maxi. The fabric is flowy and the print is beautiful.
R046,SC019,3,Color not as vibrant,The print looked brighter in the photo. Still nice but slightly disappointing.
R047,SC020,5,Perfect shirt dress,Love this wrap shirt dress. The buttons are sturdy and the fabric is lovely.
R048,SC020,4,Comfortable and chic,Comfortable to wear all day and looks smart. Great for office to brunch.
R049,SC021,2,Too tight and uncomfortable,The bodycon fit is extremely tight and uncomfortable to wear for long hours.
R050,SC021,3,Looks good but impractical,Nice design but you can barely breathe or sit comfortably. More of a photo prop than clothing.
R051,SC021,4,Great party dress,If you're okay with bodycon fit, this is a great party dress. Looks stunning in photos.
R052,SC022,5,Summer staple,This sundress is my go-to every summer. Comfortable, cute and very affordable.
R053,SC022,5,Lovely sundress,Pretty print, light fabric and cute pockets. Perfect summer dress.
R054,SC022,4,Great value,Nice quality at this price point. Colors are vibrant and it washes well.
R055,SC023,5,Heirloom quality,The embroidery work is exquisite. This dress looks like it belongs in a museum. Truly special piece.
R056,SC023,5,Stunning craftsmanship,Bought for my sister's wedding. The intricate embroidery left everyone speechless.
R057,SC024,4,Elegant slip dress,Simple and elegant. The satin-like fabric is lovely and it layers well.
R058,SC024,3,Wrinkles too easily,Pretty dress but needs constant ironing. The fabric wrinkles even with gentle handling.
R059,SC025,5,Beautiful formal dress,Perfect for formal events. The pleating is elegant and the fit is impeccable.
R060,SC025,4,Great office dress,Sophisticated and professional. The pleats give it great structure.
R061,SC026,5,Perfect sweater dress,Cozy and stylish. The knit quality is excellent and it's very flattering.
R062,SC026,4,Comfortable for winter,Warm and comfortable winter dress. The knit is thick enough to keep warm.
R063,SC027,1,Doesn't fit as expected,The sizing is completely off. Returned immediately. The quality doesn't justify the price.
R064,SC027,2,Extremely overpriced,At this price, expected much better quality. The gown doesn't even look like the photos.
R065,SC027,3,Pretty but not worth it,The gown is pretty but the quality is average for such a high price tag.
R066,SC027,2,Sizing issues and poor finish,Ordered large but fit like a small. The finish on the hem is uneven and stitching is loose.
R067,SC028,5,Beautiful ruffle dress,The tiered ruffles are gorgeous. Perfect for garden parties and brunches.
R068,SC028,4,Lovely silhouette,Flattering silhouette and beautiful ruffle details. Fabric could be better but overall happy.
R069,SC029,5,Best shirt dress,Love this linen shirt dress. Comfortable, chic and perfect for hot weather.
R070,SC029,4,Good linen dress,Nice linen fabric and good fit. The pockets are a bonus!
R071,SC030,4,Pretty floral wrap,Lovely floral print and the wrap style is very flattering.
R072,SC030,5,Gorgeous dress,Beautiful print, flows well and gets lots of compliments. My new favourite.
R073,SC031,5,Best jeans I own,Perfect high-waist fit. Stretchy, comfortable and very flattering. Bought in 3 colors.
R074,SC031,5,Amazing fit,These jeans hold their shape perfectly and are so comfortable. True to size.
R075,SC031,4,Great quality denim,Good denim quality and the high waist makes legs look longer. Very flattering.
R076,SC032,5,Love wide leg pants,These palazzo pants are so comfortable and elegant. Perfect work-to-weekend wear.
R077,SC032,4,Comfortable and chic,Flowy and comfortable. The wide leg silhouette is very flattering.
R078,SC033,4,Pretty floral skirt,Lovely floral midi skirt. The fabric flows beautifully and is comfortable to wear.
R079,SC033,3,Runs small,The skirt runs one size small. Otherwise it's pretty and good quality.
R080,SC034,5,Love this denim skirt,Perfect denim mini skirt. Not too short, great quality denim and holds its shape.
R081,SC034,5,A closet staple,This mini skirt goes with everything. Excellent denim quality and great fit.
R082,SC035,4,Beautiful maxi skirt,The pleated maxi is elegant and flows wonderfully. Perfect for formal occasions.
R083,SC035,3,Wrinkles easily,Pretty skirt but the fabric wrinkles very easily and needs constant pressing.
R084,SC036,4,Practical cargo pants,Love the multiple pockets and the comfortable fit. Good quality fabric.
R085,SC036,3,Too many pockets,The cargo pockets look bulky. Wish they had a slimmer design.
R086,SC037,5,Stunning satin skirt,The satin midi skirt is beautiful. Luxurious feel and very elegant.
R087,SC037,4,Sophisticated and chic,Love the satin look. It's elegant enough for office wear but also great for events.
R088,SC038,5,Perfect linen pants,These wide leg linen pants are so comfortable and look expensive. Love them.
R089,SC038,5,Summer essential,Cool and comfortable for hot weather. The wide leg silhouette is so elegant.
R090,SC039,4,Great for workouts,Comfortable and supportive for cycling and gym. Good compression.
R091,SC039,3,Too tight,The bicycle shorts are very tight and uncomfortable for everyday wear.
R092,SC040,3,Hem inconsistency,The asymmetric hem looks uneven on me. Might be my body shape but feels off.
R093,SC040,2,Not as pictured,The hem in real life looks very different from the photos. Disappointed.
R094,SC041,5,Perfect office trousers,Tailored fit and great quality fabric. These are my go-to work trousers.
R095,SC041,4,Smart and comfortable,Good quality trousers that are both comfortable and professional looking.
R096,SC042,4,Cute wrap skirt,Love the wrap style. Easy to wear and the fabric is comfortable.
R097,SC042,5,Perfect length and fit,This mini wrap skirt is adorable. The wrap ties are secure and the fabric is lovely.
R098,SC043,4,Comfortable track pants,Soft fabric and comfortable waistband. Great for lounging and light workouts.
R099,SC043,3,Quality dropped,Bought before and quality was better. Current version has thinner fabric.
R100,SC044,5,Love the flare,These flared jeans are gorgeous. The flare hits at the right point and is very flattering.
R101,SC044,5,Retro vibes,Great throwback flared jeans. Excellent denim quality and perfect fitting.
R102,SC045,4,Beautiful lace detail,The lace trim is delicate and adds a feminine touch. Good quality skirt.
R103,SC045,3,Lace snagged quickly,The lace trim caught on things and started snagging within two weeks. Disappointing.
R104,SC046,5,Incredible warmth,This puffer jacket is incredibly warm. Wore it in the mountains and was comfortable all day.
R105,SC046,5,Best winter jacket,Excellent insulation, great styling and durable zippers. Worth every rupee.
R106,SC047,5,Timeless trench coat,Classic trench coat with excellent quality. Waterproof and looks great over everything.
R107,SC047,4,Elegant coat,Beautiful and functional. The belt gives a nice shape and the material is durable.
R108,SC048,5,Perfect denim jacket,This denim jacket goes with everything. Great quality and flattering fit.
R109,SC048,5,Versatile wardrobe staple,Love this denim jacket. Worn it daily for months and still looks new.
R110,SC049,5,Power blazer,This oversized blazer is perfect for work. Makes every outfit look polished and powerful.
R111,SC049,4,Great quality blazer,Well tailored and good fabric. The oversized fit is very on trend.
R112,SC050,4,Cool leather look,Great faux leather jacket. Looks authentic and the quality is impressive.
R113,SC050,3,Synthetic smell,New jacket has a strong synthetic smell that took weeks to go away.
R114,SC051,5,Museum piece quality,The woolen overcoat is exquisite. The wool is thick, warm and the tailoring is perfect.
R115,SC051,5,Worth the investment,This coat will last a lifetime. Exceptional quality and looks stunning.
R116,SC052,4,Cute crop jacket,Love the cropped length. Goes great with high-waist bottoms.
R117,SC052,3,Fades quickly,The denim colour fades faster than expected. Disappointing for this price.
R118,SC053,4,Functional vest,Great quilted vest for layering. Good insulation and nice pockets.
R119,SC053,5,Love the vest,Perfect layering piece. Keeps the core warm without bulkiness.
R120,SC054,5,Sophisticated blazer,The checked pattern is so chic. Perfect for office and smart-casual events.
R121,SC054,4,Nice check blazer,Good quality fabric and well-tailored. The check pattern is very elegant.
R122,SC055,5,So cozy,The sherpa lining makes this jacket incredibly warm and comfortable.
R123,SC055,4,Great winter jacket,Warm and stylish. The sherpa lining is soft and feels luxurious.
R124,SC056,4,Good windbreaker,Lightweight and does its job. Keeps out the wind and light rain.
R125,SC056,3,Not very stylish,Functional but the design is quite plain. Wish it came in more colors.
R126,SC057,5,Dramatic and elegant,The cape coat creates such a dramatic silhouette. Perfect statement piece.
R127,SC057,4,Unique outerwear,Very unique piece. Gets lots of attention wherever I go.
R128,SC058,4,Practical utility jacket,Love all the pockets and the military aesthetic. Great for weekends.
R129,SC058,3,Too many straps,All the buckles and straps make it look overdone. Less would be more.
R130,SC059,5,Classic peacoat,Perfect classic peacoat. Great weight, beautiful construction and timeless style.
R131,SC059,5,Wardrobe investment,This peacoat will never go out of style. Excellent quality and looks amazing.
R132,SC060,5,So soft and fluffy,This teddy bear coat is incredibly soft. Gets so many compliments.
R133,SC060,4,Cozy and fun,Really fun coat that keeps you super warm. The fluffy texture is so cute.
R134,SC061,5,Classic and elegant,These pearl studs are classic and go with everything. Good quality.
R135,SC061,4,Lovely earrings,Nice quality pearl studs. The clasp is secure and they're very comfortable.
R136,SC062,5,Love this necklace,Trendy chain link necklace. Goes with everything and adds instant cool.
R137,SC062,4,Good quality chain,Nice weight and the gold tone stays bright. Great layering piece.
R138,SC063,4,Quality leather belt,Good leather quality. The buckle is sturdy and the belt holds its shape.
R139,SC063,3,Width options needed,Wish it came in different widths. The single option doesn't suit all outfits.
R140,SC064,5,Love these scrunchies,The silk scrunchies are gentle on hair. No breakage and they look so pretty.
R141,SC064,5,Best hair accessories,So glad I bought these. Hair doesn't break and these hold up all day.
R142,SC064,4,Nice quality scrunchies,Good quality silk. The set has nice variety of colors.
R143,SC065,5,Perfect tote,This canvas tote is sturdy and spacious. My daily carry for everything.
R144,SC065,5,Love this bag,Great quality canvas and the handles are strong. Fits everything I need.
R145,SC066,4,Chic sunglasses,Love the cat eye frame. Blocks UV well and the case is nice quality.
R146,SC066,3,Flimsy hinges,The hinge on one side became loose within a month. Quality could be better.
R147,SC067,5,Perfect beach hat,This straw hat is adorable and keeps the sun off well. Great for vacations.
R148,SC067,4,Cute summer hat,Pretty straw hat with good brim size. Comfortable and packs fairly well.
R149,SC068,5,Luxury scarf,The silk scarf is beautiful. Versatile and adds instant elegance to any outfit.
R150,SC068,4,Beautiful accessory,Great quality silk scarf with vibrant print. Can be worn many ways.
R151,SC069,4,Cute bracelet set,Love the variety in this set. Good quality beads and the elastic holds well.
R152,SC069,3,Some beads fell off,Two beads fell off one bracelet within a week. Quality control issue.
R153,SC070,5,Adorable clips,So many cute clips in this set. Hair clips are secure and don't slip.
R154,SC070,4,Fun hair accessories,Great variety and cute designs. Good quality for the price.
R155,SC071,5,Perfect mini bag,Love this crossbody bag. Just the right size and the strap length is perfect.
R156,SC071,5,Elegant and practical,Beautiful bag that fits phone, cards and essentials. Goes with every outfit.
R157,SC072,4,Comfortable socks,Soft socks that are comfortable all day. Good quality cotton.
R158,SC072,3,Sizing inconsistent,Sizes are not consistent across the set. Some fit well, others are too tight.
R159,SC073,4,Cute coin purse,Adorable little purse. The zipper is smooth and the size is perfect.
R160,SC073,3,Too small,Really small for a coin purse. Barely fits coins and nothing else.
R161,SC074,5,Unique pins,Love the enamel pin designs. Good quality and make great gifts.
R162,SC074,4,Nice quality pins,Well made enamel pins with good detail and vibrant colors.
R163,SC075,5,Flattering headband,This wide headband keeps hair back perfectly and looks stylish doing it.
R164,SC075,4,Good quality headband,Comfortable to wear and holds hair well. Pretty fabric too.
R165,SC076,4,Beautiful earrings,Love the tassel design. Lightweight and very eye-catching.
R166,SC076,3,Tassels tangle easily,The tassels get tangled with hair. Need to be careful when wearing them.
R167,SC077,5,Perfect bucket hat,Love this bucket hat. Goes with everything and gives great sun protection.
R168,SC077,4,Trendy and functional,Great trendy bucket hat. Comfortable fit and good sun protection.
R169,SC078,5,Beautiful necklace set,This layered necklace set is stunning. Each layer is different and they work so well together.
R170,SC078,5,Perfect layering,Love how the layers work at different lengths. Gets compliments every time.
R171,SC079,4,Versatile headscarf,Great scarf that can be worn many ways. Nice fabric and pretty print.
R172,SC079,3,Slips easily,The fabric is slippery and the scarf doesn't stay in place well.
R173,SC080,5,Gorgeous hair claw,The tortoiseshell pattern is beautiful and the hold is strong. My hair stays up all day.
R174,SC080,4,Good quality claw,Nice looking claw clip that actually holds thick hair well.
R175,SC081,5,Perfect blazer,This linen blazer is so chic. Perfect for summer office wear.
R176,SC082,4,Comfortable kaftan,Flowy and comfortable. Perfect for beach days and resort wear.
R177,SC083,5,Love these shorts,High waist shorts that are flattering and comfortable. Great quality.
R178,SC084,4,Reliable rain jacket,Does the job well. Keeps you dry and isn't too bulky.
R179,SC085,5,Slim and elegant,This card holder is slim, holds all my cards and looks so elegant.
