product_id,product_name,category,price,cost,stock_quantity,avg_daily_sales,reorder_level,avg_rating,review_count
SC001,Classic White Linen Tee,Tops,799,320,45,8.2,30,4.3,124
SC002,Floral Wrap Blouse,Tops,1299,520,12,4.1,20,4.1,87
SC003,Striped Cotton Kurta,Tops,1599,640,78,6.5,25,4.5,203
SC004,Sleeveless Crop Tank,Tops,699,280,5,3.8,15,3.9,56
SC005,Embroidered Silk Top,Tops,2499,1200,30,2.3,15,4.6,78
SC006,Casual Denim Shirt,Tops,1799,720,60,5.4,20,4.2,145
SC007,Ruched Puff Sleeve Top,Tops,1199,480,8,6.2,20,4.0,92
SC008,Vintage Band Tee,Tops,899,360,90,9.1,30,4.4,168
SC009,Sheer Organza Top,Tops,1899,760,22,3.2,15,3.8,43
SC010,Bohemian Print Blouse,Tops,1499,600,35,4.7,20,4.3,112
SC011,Ribbed Knit Crop Top,Tops,999,400,15,5.9,20,4.1,89
SC012,Oversized Graphic Tee,Tops,1099,440,55,7.3,25,4.5,201
SC013,Off-Shoulder Ruffled Top,Tops,1349,540,18,4.4,18,3.7,61
SC014,Tulle Overlay Blouse,Tops,2199,880,9,2.1,12,4.2,44
SC015,Polo Collar Shirt,Tops,1399,560,42,5.1,20,4.3,133
SC016,Velvet Party Dress,Dresses,3499,1400,28,3.9,15,4.7,189
SC017,Floral Midi Dress,Dresses,2799,1120,44,6.2,20,4.4,245
SC018,Little Black Dress,Dresses,2199,880,62,8.5,25,4.6,312
SC019,Bohemian Maxi Dress,Dresses,3299,1320,19,3.4,15,4.2,134
SC020,Wrap Shirt Dress,Dresses,2499,1000,38,5.7,20,4.3,178
SC021,Bodycon Party Dress,Dresses,2999,1200,6,7.8,20,3.5,67
SC022,Summer Sundress,Dresses,1799,720,55,9.3,30,4.5,289
SC023,Embroidered Ethnic Dress,Dresses,4199,1680,15,2.8,12,4.8,102
SC024,Slip Dress,Dresses,1999,800,40,6.1,20,4.0,155
SC025,Pleated Formal Dress,Dresses,3199,1280,22,3.6,15,4.4,98
SC026,Knit Sweater Dress,Dresses,2699,1080,33,4.9,18,4.3,143
SC027,Off-Shoulder Ball Gown,Dresses,6999,2800,4,1.2,8,3.2,28
SC028,Tiered Ruffle Dress,Dresses,2999,1200,18,4.3,15,4.5,167
SC029,Linen Shirt Dress,Dresses,2299,920,47,5.8,20,4.2,122
SC030,Floral Wrap Midi,Dresses,2599,1040,29,4.5,18,4.4,138
SC031,High-Waist Skinny Jeans,Bottoms,2299,920,65,7.8,25,4.5,287
SC032,Wide Leg Palazzo Pants,Bottoms,1999,800,42,5.6,20,4.3,193
SC033,Floral Midi Skirt,Bottoms,1599,640,28,4.2,18,4.1,109
SC034,Denim Mini Skirt,Bottoms,1399,560,50,6.9,22,4.4,234
SC035,Pleated Maxi Skirt,Bottoms,1799,720,35,4.8,18,4.2,156
SC036,Cargo Trousers,Bottoms,2199,880,48,5.3,20,4.0,145
SC037,Satin Midi Skirt,Bottoms,2499,1000,20,3.7,15,4.6,87
SC038,Linen Wide Leg Pants,Bottoms,1899,760,60,6.4,22,4.3,198
SC039,Bicycle Shorts,Bottoms,799,320,80,8.9,30,4.1,267
SC040,Asymmetric Hem Skirt,Bottoms,1699,680,14,3.1,15,3.9,52
